gbifID,datetime,decimalLatitude,decimalLongitude,air_temperature_7d,air_temperature_30d,precipitation_amount_7d,precipitation_amount_30d,specific_humidity_7d,specific_humidity_30d,surface_downwelling_shortwave_flux_in_air_7d,surface_downwelling_shortwave_flux_in_air_30d,wind_speed_7d,wind_speed_30d,wind_from_direction_7d,wind_from_direction_30d,relative_humidity_7d,relative_humidity_30d,potential_evapotranspiration_7d,potential_evapotranspiration_30d,burning_index_g_7d,burning_index_g_30d,dead_fuel_moisture_100hr_7d,dead_fuel_moisture_100hr_30d,dead_fuel_moisture_1000hr_7d,dead_fuel_moisture_1000hr_30d
5062644708,2023-06-10 00:00:00,47.424103,-121.421221,271.5,271.5,69.20000457763672,69.20000457763672,0.004299999680370092,0.004299999680370092,37.400001525878906,37.400001525878906,4.900000095367432,4.900000095367432,251.0,251.0,94.70000457763672,94.70000457763672,0.10000000149011612,0.10000000149011612,0.0,0.0,28.200000762939453,28.200000762939453,37.400001525878906,37.400001525878906
5062644079,2023-09-02 00:00:00,48.155792,-113.950653,267.8999938964844,267.8999938964844,7.900000095367432,7.900000095367432,0.0036700000055134296,0.0036700000055134296,38.10000228881836,38.10000228881836,5.900000095367432,5.900000095367432,240.0,240.0,100.0,100.0,0.10000000149011612,0.10000000149011612,0.0,0.0,27.700000762939453,27.700000762939453,32.10000228881836,32.10000228881836
5062644047,2023-08-21 00:00:00,43.764576,-110.758005,258.29998779296875,258.29998779296875,4.099999904632568,4.099999904632568,0.002050000010058284,0.002050000010058284,70.80000305175781,70.80000305175781,3.5,3.5,213.0,213.0,68.20000457763672,68.20000457763672,0.5,0.5,0.0,0.0,21.30000114440918,21.30000114440918,23.200000762939453,23.200000762939453
5062643680,2023-06-06 00:00:00,49.592328,-121.129052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5062643057,2023-09-30 00:00:00,49.612887,-121.065575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5062643048,2023-09-30 00:00:00,48.016949,-123.742081,274.0,274.0,8.800000190734863,8.800000190734863,0.004569999873638153,0.004569999873638153,49.60000228881836,49.60000228881836,4.300000190734863,4.300000190734863,238.0,238.0,88.20000457763672,88.20000457763672,0.30000001192092896,0.30000001192092896,0.0,0.0,29.399999618530273,29.399999618530273,37.900001525878906,37.900001525878906
5062641954,2023-08-23 00:00:00,48.716161,-121.808608,269.3999938964844,269.3999938964844,41.29999923706055,41.29999923706055,0.0042399996891617775,0.0042399996891617775,37.5,37.5,3.6000001430511475,3.6000001430511475,207.0,207.0,97.4000015258789,97.4000015258789,0.10000000149011612,0.10000000149011612,0.0,0.0,29.600000381469727,29.600000381469727,39.70000076293945,39.70000076293945
5062641784,2023-07-05 00:00:00,48.129349,-116.522527,269.5,269.5,5.0,5.0,0.004530000034719706,0.004530000034719706,18.399999618530273,18.399999618530273,3.700000047683716,3.700000047683716,206.0,206.0,100.0,100.0,0.10000000149011612,0.10000000149011612,0.0,0.0,26.0,26.0,28.200000762939453,28.200000762939453
5062639781,2023-07-07 00:00:00,49.088909,-121.452187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5062639742,2023-06-29 00:00:00,48.29781,-113.930166,270.29998779296875,270.29998779296875,1.899999976158142,1.899999976158142,0.003939999733120203,0.003939999733120203,41.70000076293945,41.70000076293945,7.300000190734863,7.300000190734863,243.0,243.0,94.20000457763672,94.20000457763672,0.10000000149011612,0.10000000149011612,0.0,0.0,22.5,22.5,23.700000762939453,23.700000762939453
